Lake,Fstatistic,U1004_YN,Val
Karluk,Fst,w U1004_183,0.01778
Karluk,Fsc,w U1004_183,0.00192
Karluk,Fct,w U1004_183,0.01589
Red,Fst,w U1004_183,0.01784
Red,Fsc,w U1004_183,0.00126
Red,Fct,w U1004_183,0.0166
Frazer,Fst,w U1004_183,0.00289
Frazer,Fsc,w U1004_183,0.00274
Frazer,Fct,w U1004_183,0.00015
Karluk,Fst,w/o U1004_183,0.00865
Karluk,Fsc,w/o U1004_183,0.00189
Karluk,Fct,w/o U1004_183,0.00677
Red,Fst,w/o U1004_183,0.01087
Red,Fsc,w/o U1004_183,0.00115
Red,Fct,w/o U1004_183,0.00973
Frazer,Fst,w/o U1004_183,0.00288
Frazer,Fsc,w/o U1004_183,0.00273
Frazer,Fct,w/o U1004_183,0.00015
